Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth1,91,2024-11-18 06:50:43.321,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,55,2024-11-18 06:50:43.284,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,56,2024-11-18 06:50:43.318,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,57,2024-11-18 06:50:43.318,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0010
s1-eth2,58,2024-11-18 06:50:43.321,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,59,2024-11-18 06:50:43.321,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth1,92,2024-11-18 06:50:43.326,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,93,2024-11-18 06:50:43.341,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,94,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0011
s1-eth1,95,2024-11-18 06:50:43.351,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0011
s1-eth1,96,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth2,60,2024-11-18 06:50:43.326,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,61,2024-11-18 06:50:43.341,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,62,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0011
s1-eth2,63,2024-11-18 06:50:43.351,192.168.1.20,192.168.1.10,TCP,66,44818 → 36910 0x0011
s1-eth2,64,2024-11-18 06:50:43.351,192.168.1.10,192.168.1.20,TCP,66,36910 → 44818 0x0010
s1-eth1,97,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,74,60098 → 44818 0x0002
s1-eth1,98,2024-11-18 06:50:43.633,192.168.1.30,192.168.1.10,TCP,74,44818 → 60098 0x0012
s1-eth3,46,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,74,60098 → 44818 0x0002
s1-eth3,47,2024-11-18 06:50:43.633,192.168.1.30,192.168.1.10,TCP,74,44818 → 60098 0x0012
s1-eth1,99,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,48,2024-11-18 06:50:43.633,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,100,2024-11-18 06:50:43.666,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,49,2024-11-18 06:50:43.666,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,50,2024-11-18 06:50:43.666,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0010
s1-eth1,101,2024-11-18 06:50:43.666,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0010
s1-eth1,102,2024-11-18 06:50:43.669,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,103,2024-11-18 06:50:43.669,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,104,2024-11-18 06:50:43.671,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,51,2024-11-18 06:50:43.669,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,105,2024-11-18 06:50:43.688,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,52,2024-11-18 06:50:43.669,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,53,2024-11-18 06:50:43.671,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth1,106,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0011
s1-eth1,107,2024-11-18 06:50:43.693,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0011
s1-eth1,108,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth3,54,2024-11-18 06:50:43.688,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,55,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0011
s1-eth3,56,2024-11-18 06:50:43.693,192.168.1.30,192.168.1.10,TCP,66,44818 → 60098 0x0011
s1-eth3,57,2024-11-18 06:50:43.693,192.168.1.10,192.168.1.30,TCP,66,60098 → 44818 0x0010
s1-eth1,109,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,74,36914 → 44818 0x0002
s1-eth1,110,2024-11-18 06:50:44.358,192.168.1.20,192.168.1.10,TCP,74,44818 → 36914 0x0012
s1-eth1,111,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth1,112,2024-11-18 06:50:44.386,192.168.1.10,192.168.1.20,TCP,74,36930 → 44818 0x0002
s1-eth1,113,2024-11-18 06:50:44.386,192.168.1.20,192.168.1.10,TCP,74,44818 → 36930 0x0012
s1-eth1,114,2024-11-18 06:50:44.386,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth1,115,2024-11-18 06:50:44.391,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,116,2024-11-18 06:50:44.391,192.168.1.20,192.168.1.10,TCP,66,44818 → 36914 0x0010
s1-eth1,117,2024-11-18 06:50:44.393,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,65,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,74,36914 → 44818 0x0002
s1-eth2,66,2024-11-18 06:50:44.358,192.168.1.20,192.168.1.10,TCP,74,44818 → 36914 0x0012
s1-eth2,67,2024-11-18 06:50:44.358,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth1,118,2024-11-18 06:50:44.393,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth1,119,2024-11-18 06:50:44.395,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,120,2024-11-18 06:50:44.413,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,121,2024-11-18 06:50:44.417,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,68,2024-11-18 06:50:44.386,192.168.1.10,192.168.1.20,TCP,74,36930 → 44818 0x0002
s1-eth2,69,2024-11-18 06:50:44.386,192.168.1.20,192.168.1.10,TCP,74,44818 → 36930 0x0012
s1-eth1,122,2024-11-18 06:50:44.417,192.168.1.20,192.168.1.10,TCP,66,44818 → 36930 0x0010
s1-eth2,70,2024-11-18 06:50:44.386,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth1,123,2024-11-18 06:50:44.418,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0011
s1-eth2,71,2024-11-18 06:50:44.391,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,72,2024-11-18 06:50:44.391,192.168.1.20,192.168.1.10,TCP,66,44818 → 36914 0x0010
s1-eth2,73,2024-11-18 06:50:44.393,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,74,2024-11-18 06:50:44.393,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth1,124,2024-11-18 06:50:44.421,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,125,2024-11-18 06:50:44.421,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth1,126,2024-11-18 06:50:44.421,192.168.1.20,192.168.1.10,TCP,66,44818 → 36914 0x0011
s1-eth1,127,2024-11-18 06:50:44.421,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth2,75,2024-11-18 06:50:44.395,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,128,2024-11-18 06:50:44.422,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,76,2024-11-18 06:50:44.413,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,77,2024-11-18 06:50:44.417,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,129,2024-11-18 06:50:44.437,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,130,2024-11-18 06:50:44.443,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0011
s1-eth1,131,2024-11-18 06:50:44.443,192.168.1.20,192.168.1.10,TCP,66,44818 → 36930 0x0011
s1-eth2,78,2024-11-18 06:50:44.417,192.168.1.20,192.168.1.10,TCP,66,44818 → 36930 0x0010
s1-eth1,132,2024-11-18 06:50:44.443,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth2,79,2024-11-18 06:50:44.418,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0011
s1-eth2,80,2024-11-18 06:50:44.421,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,81,2024-11-18 06:50:44.421,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth2,82,2024-11-18 06:50:44.421,192.168.1.20,192.168.1.10,TCP,66,44818 → 36914 0x0011
s1-eth2,83,2024-11-18 06:50:44.421,192.168.1.10,192.168.1.20,TCP,66,36914 → 44818 0x0010
s1-eth2,84,2024-11-18 06:50:44.422,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,85,2024-11-18 06:50:44.437,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,86,2024-11-18 06:50:44.443,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0011
s1-eth2,87,2024-11-18 06:50:44.443,192.168.1.20,192.168.1.10,TCP,66,44818 → 36930 0x0011
s1-eth2,88,2024-11-18 06:50:44.443,192.168.1.10,192.168.1.20,TCP,66,36930 → 44818 0x0010
s1-eth1,133,2024-11-18 06:50:44.703,192.168.1.10,192.168.1.30,TCP,74,60102 → 44818 0x0002
s1-eth3,58,2024-11-18 06:50:44.703,192.168.1.10,192.168.1.30,TCP,74,60102 → 44818 0x0002
s1-eth1,134,2024-11-18 06:50:44.703,192.168.1.30,192.168.1.10,TCP,74,44818 → 60102 0x0012
s1-eth3,59,2024-11-18 06:50:44.703,192.168.1.30,192.168.1.10,TCP,74,44818 → 60102 0x0012
s1-eth1,135,2024-11-18 06:50:44.703,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth3,60,2024-11-18 06:50:44.703,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth1,136,2024-11-18 06:50:44.730,192.168.1.10,192.168.1.30,TCP,74,60116 → 44818 0x0002
s1-eth2,89,2024-11-18 06:50:44.927,192.168.1.10,192.168.1.20,TCP,74,36934 → 44818 0x0002
s1-eth2,90,2024-11-18 06:50:44.927,192.168.1.20,192.168.1.10,TCP,74,44818 → 36934 0x0012
s1-eth3,61,2024-11-18 06:50:44.730,192.168.1.10,192.168.1.30,TCP,74,60116 → 44818 0x0002
s1-eth1,137,2024-11-18 06:50:44.730,192.168.1.30,192.168.1.10,TCP,74,44818 → 60116 0x0012
s1-eth2,91,2024-11-18 06:50:44.927,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth3,62,2024-11-18 06:50:44.730,192.168.1.30,192.168.1.10,TCP,74,44818 → 60116 0x0012
s1-eth1,138,2024-11-18 06:50:44.730,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth3,63,2024-11-18 06:50:44.730,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth1,139,2024-11-18 06:50:44.735,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth2,92,2024-11-18 06:50:44.960,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth2,93,2024-11-18 06:50:44.960,192.168.1.20,192.168.1.10,TCP,66,44818 → 36934 0x0010
s1-eth3,64,2024-11-18 06:50:44.735,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth1,140,2024-11-18 06:50:44.735,192.168.1.30,192.168.1.10,TCP,66,44818 → 60102 0x0010
s1-eth2,94,2024-11-18 06:50:44.965,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,65,2024-11-18 06:50:44.735,192.168.1.30,192.168.1.10,TCP,66,44818 → 60102 0x0010
s1-eth2,95,2024-11-18 06:50:44.965,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth3,66,2024-11-18 06:50:44.739,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,141,2024-11-18 06:50:44.739,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,142,2024-11-18 06:50:44.739,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth3,67,2024-11-18 06:50:44.739,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth1,143,2024-11-18 06:50:44.741,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,68,2024-11-18 06:50:44.741,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth2,96,2024-11-18 06:50:44.967,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth1,144,2024-11-18 06:50:44.754,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,145,2024-11-18 06:50:44.759,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0011
s1-eth2,97,2024-11-18 06:50:44.978,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,69,2024-11-18 06:50:44.754,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,70,2024-11-18 06:50:44.759,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0011
s1-eth3,71,2024-11-18 06:50:44.759,192.168.1.30,192.168.1.10,TCP,66,44818 → 60102 0x0011
s1-eth1,146,2024-11-18 06:50:44.759,192.168.1.30,192.168.1.10,TCP,66,44818 → 60102 0x0011
s1-eth1,147,2024-11-18 06:50:44.759,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth3,72,2024-11-18 06:50:44.759,192.168.1.10,192.168.1.30,TCP,66,60102 → 44818 0x0010
s1-eth1,148,2024-11-18 06:50:44.762,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth2,98,2024-11-18 06:50:44.983,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0011
s1-eth2,99,2024-11-18 06:50:44.983,192.168.1.20,192.168.1.10,TCP,66,44818 → 36934 0x0011
s1-eth2,100,2024-11-18 06:50:44.983,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth3,73,2024-11-18 06:50:44.762,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,74,2024-11-18 06:50:44.762,192.168.1.30,192.168.1.10,TCP,66,44818 → 60116 0x0010
s1-eth1,149,2024-11-18 06:50:44.762,192.168.1.30,192.168.1.10,TCP,66,44818 → 60116 0x0010
s1-eth3,75,2024-11-18 06:50:44.766,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,150,2024-11-18 06:50:44.766,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,151,2024-11-18 06:50:44.766,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth2,101,2024-11-18 06:50:44.988,192.168.1.10,192.168.1.20,TCP,74,36950 → 44818 0x0002
s1-eth2,102,2024-11-18 06:50:44.988,192.168.1.20,192.168.1.10,TCP,74,44818 → 36950 0x0012
s1-eth2,103,2024-11-18 06:50:44.988,192.168.1.10,192.168.1.20,TCP,66,36950 → 44818 0x0010
s1-eth2,104,2024-11-18 06:50:45.019,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,76,2024-11-18 06:50:44.766,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth1,152,2024-11-18 06:50:44.767,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,77,2024-11-18 06:50:44.767,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,78,2024-11-18 06:50:44.780,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,153,2024-11-18 06:50:44.780,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,154,2024-11-18 06:50:44.784,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0011
s1-eth2,105,2024-11-18 06:50:45.019,192.168.1.20,192.168.1.10,TCP,66,44818 → 36950 0x0010
s1-eth2,106,2024-11-18 06:50:45.023,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,107,2024-11-18 06:50:45.023,192.168.1.10,192.168.1.20,TCP,66,36950 → 44818 0x0010
s1-eth3,79,2024-11-18 06:50:44.784,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0011
s1-eth3,80,2024-11-18 06:50:44.785,192.168.1.30,192.168.1.10,TCP,66,44818 → 60116 0x0011
s1-eth1,155,2024-11-18 06:50:44.785,192.168.1.30,192.168.1.10,TCP,66,44818 → 60116 0x0011
s1-eth1,156,2024-11-18 06:50:44.785,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth3,81,2024-11-18 06:50:44.785,192.168.1.10,192.168.1.30,TCP,66,60116 → 44818 0x0010
s1-eth1,157,2024-11-18 06:50:44.927,192.168.1.10,192.168.1.20,TCP,74,36934 → 44818 0x0002
s1-eth2,108,2024-11-18 06:50:45.024,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,109,2024-11-18 06:50:45.038,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,110,2024-11-18 06:50:45.044,192.168.1.10,192.168.1.20,TCP,66,36950 → 44818 0x0011
s1-eth2,111,2024-11-18 06:50:45.044,192.168.1.20,192.168.1.10,TCP,66,44818 → 36950 0x0011
s1-eth2,112,2024-11-18 06:50:45.044,192.168.1.10,192.168.1.20,TCP,66,36950 → 44818 0x0010
s1-eth1,158,2024-11-18 06:50:44.927,192.168.1.20,192.168.1.10,TCP,74,44818 → 36934 0x0012
s1-eth1,159,2024-11-18 06:50:44.927,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth1,160,2024-11-18 06:50:44.960,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,161,2024-11-18 06:50:44.960,192.168.1.20,192.168.1.10,TCP,66,44818 → 36934 0x0010
s1-eth3,82,2024-11-18 06:50:45.143,fe80::d0e5:f6ff:fe46:4fd5,ff02::fb,MDNS,107,MDNS
s1-eth3,83,2024-11-18 06:50:45.218,192.168.1.10,192.168.1.30,TCP,74,60124 → 44818 0x0002
s1-eth3,84,2024-11-18 06:50:45.218,192.168.1.30,192.168.1.10,TCP,74,44818 → 60124 0x0012
s1-eth1,162,2024-11-18 06:50:44.965,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth3,85,2024-11-18 06:50:45.218,192.168.1.10,192.168.1.30,TCP,66,60124 → 44818 0x0010
s1-eth3,86,2024-11-18 06:50:45.250,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth1,163,2024-11-18 06:50:44.965,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth1,164,2024-11-18 06:50:44.967,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,87,2024-11-18 06:50:45.250,192.168.1.30,192.168.1.10,TCP,66,44818 → 60124 0x0010
s1-eth1,165,2024-11-18 06:50:44.978,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,88,2024-11-18 06:50:45.253,192.168.1.30,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,166,2024-11-18 06:50:44.983,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0011
s1-eth1,167,2024-11-18 06:50:44.983,192.168.1.20,192.168.1.10,TCP,66,44818 → 36934 0x0011
s1-eth1,168,2024-11-18 06:50:44.983,192.168.1.10,192.168.1.20,TCP,66,36934 → 44818 0x0010
s1-eth3,89,2024-11-18 06:50:45.253,192.168.1.10,192.168.1.30,TCP,66,60124 → 44818 0x0010
s1-eth1,169,2024-11-18 06:50:44.988,192.168.1.10,192.168.1.20,TCP,74,36950 → 44818 0x0002
s1-eth1,170,2024-11-18 06:50:44.988,192.168.1.20,192.168.1.10,TCP,74,44818 → 36950 0x0012
s1-eth1,171,2024-11-18 06:50:44.988,192.168.1.10,192.168.1.20,TCP,66,36950 → 44818 0x0010
s1-eth1,172,2024-11-18 06:50:45.019,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,90,2024-11-18 06:50:45.254,192.168.1.10,192.168.1.30,CIPCM,134,Command: 0x006f
s1-eth3,91,2024-11-18 06:50:45.268,192.168.1.30,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,92,2024-11-18 06:50:45.273,192.168.1.10,192.168.1.30,TCP,66,60124 → 44818 0x0011
